Dates,log_inflow
12/24/1939,2.299855815
12/31/1939,2.993048058
1/7/1940,2.840858554
1/14/1940,3.133190695
1/21/1940,3.353558497
1/28/1940,2.897049481
2/4/1940,2.787410879
2/11/1940,3.812627296
2/18/1940,3.219872563
2/25/1940,3.598764251
3/3/1940,3.069427578
3/10/1940,3.308453425
3/17/1940,3.426317656
3/24/1940,3.06761385
3/31/1940,3.026324851
4/7/1940,3.299123608
4/14/1940,3.705848324
4/21/1940,3.690587655
4/28/1940,3.550788293
5/5/1940,2.910432291
5/12/1940,2.483401844
5/19/1940,2.378506915
5/26/1940,3.569486273
6/2/1940,3.266911074
6/9/1940,2.665158685
6/16/1940,2.764489967
6/23/1940,3.382307076
6/30/1940,2.47070443
7/7/1940,1.924847633
7/14/1940,2.076967952
7/21/1940,1.891704676
7/28/1940,1.784046416
8/4/1940,2.300899688
8/11/1940,2.238146506
8/18/1940,3.926810964
8/25/1940,3.29745191
9/1/1940,3.133915559
9/8/1940,2.491123467
9/15/1940,2.574332274
9/22/1940,2.269512944
9/29/1940,2.076967952
10/6/1940,2.1491267
10/13/1940,2.111396949
10/20/1940,2.079289806
10/27/1940,2.06228107
11/3/1940,2.355394045
11/10/1940,1.983084773
11/17/1940,3.649183901
11/24/1940,2.627785608
12/1/1940,2.54329804
12/8/1940,2.598232238
12/15/1940,2.628674959
12/22/1940,2.864154956
12/29/1940,3.363450264
1/5/1941,3.328491731
1/12/1941,2.999091375
1/19/1941,3.443233251
1/26/1941,3.157924961
2/2/1941,3.035125425
2/9/1941,3.007252622
2/16/1941,3.244338982
2/23/1941,3.043193244
3/2/1941,2.893734028
3/9/1941,3.481852363
3/16/1941,3.176603424
3/23/1941,2.878900776
3/30/1941,3.465399212
4/6/1941,3.758654569
4/13/1941,3.452427429
4/20/1941,3.171521687
4/27/1941,3.236073498
5/4/1941,2.839100783
5/11/1941,2.455788615
5/18/1941,2.318564155
5/25/1941,2.172223341
6/1/1941,2.146003934
6/8/1941,2.66122566
6/15/1941,2.878378156
6/22/1941,2.66122566
6/29/1941,2.497468724
7/6/1941,3.235914595
7/13/1941,3.619999601
7/20/1941,3.504959933
7/27/1941,3.556067194
8/3/1941,3.171904814
8/10/1941,2.221596786
8/17/1941,2.148077977
8/24/1941,2.155973345
8/31/1941,2.278524965
9/7/1941,2.306510806
9/14/1941,1.944581364
9/21/1941,1.498861689
9/28/1941,1.130333769
10/5/1941,2.080914959
10/12/1941,2.071808392
10/19/1941,1.920645001
10/26/1941,1.920645001
11/2/1941,1.901785145
11/9/1941,1.850707485
11/16/1941,1.850707485
11/23/1941,1.850707485
11/30/1941,1.850707485
12/7/1941,1.95206559
12/14/1941,2.356178886
12/21/1941,2.386070702
12/28/1941,2.52146499
1/4/1942,2.37892455
1/11/1942,2.194680813
1/18/1942,2.182813951
1/25/1942,2.381854828
2/1/1942,2.394136353
2/8/1942,2.639695617
2/15/1942,2.663795122
2/22/1942,3.642991487
3/1/1942,2.661055085
3/8/1942,3.25734973
3/15/1942,3.557554118
3/22/1942,2.787857039
3/29/1942,3.117817964
4/5/1942,2.975096192
4/12/1942,2.9007439
4/19/1942,2.736539915
4/26/1942,2.569280251
5/3/1942,2.906421246
5/10/1942,2.468967308
5/17/1942,3.303750995
5/24/1942,2.929858107
5/31/1942,2.243732365
6/7/1942,2.206340058
6/14/1942,2.791437997
6/21/1942,2.22055262
6/28/1942,2.155244917
7/5/1942,2.28123796
7/12/1942,2.497717302
7/19/1942,2.257390549
7/26/1942,1.928293412
8/2/1942,2.56088657
8/9/1942,3.334980215
8/16/1942,2.972744211
8/23/1942,3.598527882
8/30/1942,2.700236296
9/6/1942,2.864255888
9/13/1942,3.231087121
9/20/1942,2.57881106
9/27/1942,3.022333501
10/4/1942,3.313012549
10/11/1942,2.216482597
10/18/1942,3.873521133
10/25/1942,2.913092961
11/1/1942,3.208000388
11/8/1942,2.587419093
11/15/1942,2.523447299
11/22/1942,2.435238989
11/29/1942,3.576294117
12/6/1942,3.373136453
12/13/1942,3.591593234
12/20/1942,3.295503325
12/27/1942,3.130574976
1/3/1943,3.833303965
1/10/1943,3.22671072
1/17/1943,3.08767496
1/24/1943,3.65382492
1/31/1943,3.896019981
2/7/1943,3.852737322
2/14/1943,3.367769515
2/21/1943,3.031149831
2/28/1943,2.908951233
3/7/1943,3.685228341
3/14/1943,3.366419221
3/21/1943,3.248564192
3/28/1943,3.562974113
4/4/1943,3.205469625
4/11/1943,3.026565948
4/18/1943,3.105363692
4/25/1943,3.790266159
5/2/1943,2.965911613
5/9/1943,2.516165041
5/16/1943,2.510826406
5/23/1943,2.372506963
5/30/1943,2.737256271
6/6/1943,2.506991819
6/13/1943,2.896046465
6/20/1943,2.554404352
6/27/1943,2.421044248
7/4/1943,2.686716687
7/11/1943,3.914042591
7/18/1943,3.540005197
7/25/1943,3.033994397
8/1/1943,2.710125831
8/8/1943,2.111598525
8/15/1943,1.912859475
8/22/1943,1.753123245
8/29/1943,1.865873528
9/5/1943,2.30418883
9/12/1943,2.216218701
9/19/1943,1.941908774
9/26/1943,1.921842481
10/3/1943,2.129818744
10/10/1943,2.15998805
10/17/1943,1.863560765
10/24/1943,1.792671789
10/31/1943,1.602494069
11/7/1943,1.42373725
11/14/1943,1.970486349
11/21/1943,2.224688417
11/28/1943,2.034628457
12/5/1943,1.517063873
12/12/1943,0.696356389
12/19/1943,0.696356389
12/26/1943,0.767155866
1/2/1944,2.349704811
1/9/1944,3.653454686
1/16/1944,3.661577971
1/23/1944,3.299905891
